01	Охоронні зони
01.01	Закон України "Про природно-заповідний фонд"
01.02	Закон України "Про охорону культурної спадщини"
01.02.1	Закон України "Про охорону культурної спадщини"
01.02.2	Закон України "Про охорону культурної спадщини"
01.02.3	Закон України "Про охорону культурної спадщини"
01.02.4	Закон України "Про охорону культурної спадщини"
01.03	Закон України "Про правовий режим земель охоронних зон об'єктів магістральних трубопроводів", Закон України "Про трубопровідний транспорт", "Про транспорт", "Про залізничний транспорт", Повітряний кодекс України, Постанова "Про затвердження кодексу газорозподільних систем" від 30.09.2015 N2494
01.04	Закон України "Про телекомунікації", Постанова КМУ від 29.01.96 N 135 "Про затвердження Правил охорони ліній електрозв'язку"
01.05	Постанова КМУ від 27.12.2022 N 1455 "Про затвердження Правил охорони електричних мереж"
01.06	Закон України "Про гідрометеорологічну діяльність", постанова КМУ від 11.12.99 N 2262 "Про затвердження Порядку встановлення охоронних зон навколо об'єктів, призначених для гідрометеорологічних спостережень та інших видів гідрометеорологічної діяльності, та режиму їх використання"
01.07	Закон України "Про топографо-геодезичну і картографічну діяльність", постанова КМУ від 19.07.99 N 1284 "Про Порядок охорони геодезичних пунктів"
01.08	постанова КМУ від 30.03.94 N 198 "Про затвердження Єдиних правил ремонту і утримання автомобільних доріг, вулиць, залізничних переїздів, правил користування ними та охорони
02	Зони санітарної охорони
02.01	Закони України "Про забезпечення санітарного та епідемічного благополуччя населення", "Про питну воду та питне водопостачання", постанова КМУ від 18.12.98 N 2024 "Про правовий режим зон санітарної охорони водних об'єктів"
02.01.1	Закони України "Про забезпечення санітарного та епідемічного благополуччя населення", "Про питну воду та питне водопостачання", постанова КМУ від 18.12.98 N 2024 "Про правовий режим зон санітарної охорони водних об'єктів"
02.01.2	Закони України "Про забезпечення санітарного та епідемічного благополуччя населення", "Про питну воду та питне водопостачання", постанова КМУ від 18.12.98 N 2024 "Про правовий режим зон санітарної охорони водних об'єктів"
02.01.3	Закони України "Про забезпечення санітарного та епідемічного благополуччя населення", "Про питну воду та питне водопостачання", постанова КМУ від 18.12.98 N 2024 "Про правовий режим зон санітарної охорони водних об'єктів"
02.01.4	Закони України "Про забезпечення санітарного та епідемічного благополуччя населення", "Про питну воду та питне водопостачання", постанова КМУ від 18.12.98 N 2024 "Про правовий режим зон санітарної охорони водних об'єктів"
02.02	Округи санітарної охорони
02.02.1	Земельний кодекс України, Водний кодекс України
02.02.2	Земельний кодекс України, Водний кодекс України
02.02.3	Земельний кодекс України, Водний кодекс України
03	Постанова головного санітарного лікаря України від 01.07.1999 № 28 ДЕРЖАВНІ САНІТАРНІ ПРАВИЛА ТА НОРМИ "Гігієнічні вимоги щодо облаштування і утримання кладовищ в населених пунктах України" ДСанПіН 2.2.2.028-99
03.01	Наказ МОЗ України "Про затвердження Державних санітарних правил планування та забудови населених пунктів" від 24.07.1996 р. N379/1404, Постанова головного санітарного лікаря України від 01.07.1999 № 28 ДЕРЖАВНІ САНІТАРНІ ПРАВИЛА ТА НОРМИ "Гігієнічні вимоги щодо облаштування і утримання кладовищ в населених пунктах України" ДСанПіН 2.2.2.028-99
03.02	Постанова головного санітарного лікаря України від 01.07.1999 № 28 ДЕРЖАВНІ САНІТАРНІ ПРАВИЛА ТА НОРМИ "Гігієнічні вимоги щодо облаштування і утримання кладовищ в населених пунктах України" ДСанПіН 2.2.2.028-99
04	Зони особливого режиму використання земель
04.01	Земельний кодекс України, Закони України "Про використання земель оборони", "Про державний кордон України", "Про прикордонний режим"
04.02	Земельний кодекс України, Закони України "Про використання земель оборони", "Про державний кордон України", "Про прикордонний режим"
04.03	Земельний кодекс України, Закони України "Про використання земель оборони", "Про державний кордон України", "Про прикордонний режим"
05	Водоохоронні обмеження
05.01	Земельний кодекс України, Водний кодекс України, постанови КМУ від 13.05.96 N 502 "Про затвердження Порядку користування землями водного фонду", від 14.04.97 N 347 "Про затвердження Порядку складання паспортів річок і Порядку установлення берегових смуг водних шляхів та користування ними"
05.02	Земельний кодекс України, Водний кодекс України, постанови КМУ від 13.05.96 N 502 "Про затвердження Порядку користування землями водного фонду", від 14.04.97 N 347 "Про затвердження Порядку складання паспортів річок і Порядку установлення берегових смуг водних шляхів та користування ними"
05.03	Земельний кодекс України, Водний кодекс України, постанови КМУ від 13.05.96 N 502 "Про затвердження Порядку користування землями водного фонду", від 14.04.97 N 347 "Про затвердження Порядку складання паспортів річок і Порядку установлення берегових смуг водних шляхів та користування ними"
05.04	Земельний кодекс України, Водний кодекс України, постанови КМУ від 13.05.96 N 502 "Про затвердження Порядку користування землями водного фонду", від 14.04.97 N 347 "Про затвердження Порядку складання паспортів річок і Порядку установлення берегових смуг водних шляхів та користування ними"
05.05	Земельний кодекс України, Водний кодекс України, постанови КМУ від 13.05.96 N 502 "Про затвердження Порядку користування землями водного фонду", від 14.04.97 N 347 "Про затвердження Порядку складання паспортів річок і Порядку установлення берегових смуг водних шляхів та користування ними"
05.06	Земельний кодекс України, Водний кодекс України, постанови КМУ від 13.05.96 N 502 "Про затвердження Порядку користування землями водного фонду", від 14.04.97 N 347 "Про затвердження Порядку складання паспортів річок і Порядку установлення берегових смуг водних шляхів та користування ними"
06	Інше обмеження
06.01	Закон України "Про основи містобудування", "Про архітектурну діяльність", "Про планування та забудову територій", постанова КМУ від 13.03.2002 N 318 "Про затвердження Порядку визначення меж та режимів використання історичних ареалів населених місць, обмеження господарської діяльності на території історичних ареалів населених місць", ДБН Б.2.2-12:2018 «Планування і забудова територій», наказ МОЗ України від 19.06.96 N 173 "Про затвердження Державних санітарних правил планування та забудови населених пунктів" та ін.
06.01.1	ДБН Б.2.2-12:2018 «Планування і забудова територій», наказ МОЗ України від 19.06.96 N 173 "Про затвердження Державних санітарних правил планування та забудови населених пунктів"
06.01.2	ДБН Б.2.2-12:2018 «Планування і забудова територій», наказ МОЗ України від 19.06.96 N 173 "Про затвердження Державних санітарних правил планування та забудови населених пунктів"
06.01.3	ДБН Б.2.2-12:2018 «Планування і забудова територій», наказ МОЗ України від 19.06.96 N 173 "Про затвердження Державних санітарних правил планування та забудови населених пунктів"
06.01.4	ДБН Б.2.2-12:2018 «Планування і забудова територій», наказ МОЗ України від 19.06.96 N 173 "Про затвердження Державних санітарних правил планування та забудови населених пунктів"
06.01.5	ДБН Б.2.2-12:2018 «Планування і забудова територій», наказ МОЗ України від 19.06.96 N 173 "Про затвердження Державних санітарних правил планування та забудови населених пунктів"
