Авдіївка	м. Авдіївка	\бульв. Шевченка\вул. 8 Березня\вул. 9-й квартал\вул. Абрикосова\вул. Белінського\вул. Весняна\вул. Виноградна\вул. Воробйова\вул. Гагаріна\вул. Героїв\вул. Грушевського\вул. Джерельна\вул. Добролюбова\вул. Довіри\вул. Донецька\вул. Дружби\вул. Єлагіна\вул. Заводська\вул. Зелена\вул. Каштанова\вул. Княгині Ольги\вул. Коксохіміків\вул. Колосова\вул. Комунальна\вул. Корольова\вул. Котляревського\вул. Коцюбинського\вул. Красна\вул. Леваневського\вул. Лермонтова\вул. Лесі Українки\вул. Ломоносова\вул. Маяковського\вул. Менделєєва\вул. Металургів\вул. Миру\вул. Молодіжна\вул. Нахімова\вул. Незалежності\вул. Некрасова\вул. Нечаєва\вул. Паркова\вул. Первомайська\вул. Перемоги\вул. Поштова\вул. Пушкіна\вул. Рубінова\вул. Садова\вул. Сапронова\вул. Свободи\вул. Сільгосптехніки\вул. Соборна\вул. Спортивна\вул. Степова\вул. Суворова\вул. Тимірязєва\вул. Тургенєва\вул. Фестивальна\вул. Франка\вул. Центральна\вул. Чайковського\вул. Чепижного\вул. Чернишевського\вул. Чехова\вул. Чистякова\вул. Чкалова\вул. Шевченка\вул. Шестакова\кв-л 9-й квартал\кв-л Будівельників\кв-л Ювілейний\пров. 50-и Річчя АКХЗ\пров. 50-ти Річчя АКХЗ\пров. Аптекарський\пров. Благодатний\пров. Больничний\пров. Гурова\пров. Залізничний\пров. Кар'єрний\пров. Клубний\пров. Козачий\пров. Лісний\пров. Міністерства шляхів та сполучення\пров. Робочий\пров. Світлий\пров. Сєдова\пров. Солов'яненко\пров. Стадіонний\пров. Стрілковий\пров. Суворова\пров. Театральний\пров. Тісний\пров. Толстого\пров. Шкільний\пров. Ясинуватський\проїзд Індустріальний\просп. Центральний
Бахмутський	м. Бахмут	\бульв. Металургів\вул. 1 Травня\вул. 1-а Вокзальна\вул. 1-а Залізнична\вул. 1-а Ломоносова\вул. 1-й Залізничний\вул. 2-а Лісна\вул. 2-а Набережна\вул. 2-й Трояндовий\вул. 485 км\вул. 8 Березня\вул. 9 Травня\вул. Абрикосова\вул. Алебастрова\вул. Ангеліної\вул. Арона Китаєва\вул. Базарна\вул. Бахмутська\вул. Бахмутського Козацтва\вул. Берегова\вул. Благовіщенська\вул. Благодатна\вул. Бориса Грінченка\вул. Броварська\вул. Василя Гайворонського\вул. Василя Першина\вул. Ватутіна\вул. Вербна\вул. Весела\вул. Визволителів Донбасу\вул. Виноградна\вул. Вишнева\вул. Воїнів Інтернаціоналістів\вул. Гагаріна\вул. Гаршина\вул. Гвардійська\вул. Геологів\вул. Героїв Праці\вул. Герцена\вул. Глиняна\вул. Гліба Слободіна\вул. Глінки\вул. Гоголя\вул. Горбатова\вул. Горького\вул. Григорія Сковороди\вул. Дачна\вул. Декабристів\вул. Деконівська\вул. Деніна\вул. Джерельна\вул. Добролюбова\вул. Донецька\вул. Дорожня\вул. Дружби\вул. Євгена Онопрієнко\вул. Загородня\вул. Залізнична\вул. Зарічна\вул. Захисників України\вул. Зелена\вул. Зої Космодем'янської\вул. Івана Паторжинського\вул. Івкіна\вул. Ірини Левченко\вул. Карла Лібкнехта\вул. Кибенко\вул. Київська\вул. Ковальська\вул. Козаченко\вул. Колгоспна\вул. Колодязьна\вул. Комунальна\вул. Кооперативна\вул. Корсунського\вул. Костянтинівська\вул. Коцюбинського\вул. Крайня\вул. Красна\вул. Крилова\вул. Лариси Шепітько\вул. Леваневського\вул. Лермонтова\вул. Лесі Українки\вул. Лєскова\вул. Лікарняна\вул. Лісна\вул. Ломоносова\вул. Лугова\вул. Льотчиків\вул. Магістральна\вул. Макарова\вул. Маріупільска\вул. Маріупільська\вул. Мартинова\вул. Маяковського\вул. Медведєва\вул. Медова\вул. Минаєвська\вул. Миру\вул. Михайлівська\вул. Михайлівський\вул. Мічуріна\вул. Можайського\вул. Молодіжна\вул. Морська\вул. Набережна\вул. Нахімова\вул. Недогибченко\вул. Незалежності\вул. Некрасова\вул. Нестерова\вул. Нижньомаріупольска\вул. Нижня\вул. Ніколаєва\вул. Нова\вул. Носакова\вул. Оборони\вул. Олега Кошового\вул. Олександра Матросова\вул. Олександри Колпакової\вул. Омеляна Бірюкова\вул. Опитна\вул. Осипенко\вул. Павла Новгородцева\вул. Павлова\вул. Партизанська\вул. Патриса Лумумби\вул. Перемоги\вул. Першотравнева\вул. Пирогова\вул. Північна\вул. Підгірна\вул. Піщана\вул. Польова\вул. Полярна\вул. Привокзальна\вул. Промислова\вул. Профсоюзна\вул. Пушкіна\вул. Рабкоровська\вул. Раскової\вул. Різдвяна\вул. Річна\вул. Робоча\вул. Ростовська\вул. Румянцева\вул. Садова\вул. Свободи\вул. Свято-Георгіївська\вул. Севастопільська\вул. Серова\вул. Сибірцева\вул. Силікатна\вул. Сількорівська\вул. Слобідська\вул. Смирнова\вул. Соборна\вул. Совхозна\вул. Сонячна\вул. Сосюри\вул. Спартаківська\вул. Спортивна\вул. Степова\вул. Студентська\вул. Суворова\вул. Сумська\вул. Східний\вул. Танкістів\вул. Тимірязєва\вул. Тітова\вул. Толбухіна\вул. Толстого\вул. Торгова\вул. Трояндова\вул. Трудова\вул. Трудові Резерви\вул. Тургенєва\вул. Ушакова\вул. Федора Максименко\вул. Франко\вул. Харківська\вул. Хмельницького\вул. Центральна\вул. Ціолковського\вул. Чайковського\вул. Чапліна\вул. Червоносільска\вул. Чернишевського\вул. Черняховського\вул. Чехова\вул. Чкалова\вул. Шаляпіна\вул. Шевченка\вул. Широка\вул. Щедра\вул. Ювілейна\вул. Южна\пл. Привокзальна\пров. 1-й Гоголя\пров. 1-й Бірюковський\пров. 1-й Благовіщінський\пров. 1-й Дружби\пров. 1-й Залізничний\пров. 1-й Козацький\пров. 1-й Ломоносова\пров. 1-й Магістратський\пров. 1-й Партизанський\пров. 1-й Переїзний\пров. 1-й Пушкінський\пров. 1-й Річний\пров. 1-й Садовий\пров. 1-й Танкістів\пров. 1-й Трояндовий\пров. 1-й Ушакова\пров. 1-й Червоносільський\пров. 1-й Шевченка\пров. 2-й Бірюковський\пров. 2-й Благовіщінський\пров. 2-й Вокзальний\пров. 2-й Гоголя\пров. 2-й Дружби\пров. 2-й Залізничний\пров. 2-й Китаєвський\пров. 2-й Козацький\пров. 2-й Ломоносова\пров. 2-й Партизанський\пров. 2-й Переїзний\пров. 2-й Річний\пров. 2-й Садовий\пров. 2-й Танкістів\пров. 2-й Ушакова\пров. 2-й Червоносільський\пров. 2-й Шевченка\пров. 3-й Гоголя\пров. 3-й Козацький\пров. 3-й Ломоносова\пров. 3-й Садовий\пров. 3-й Танкистів\пров. 3-й Червоносільський\пров. 3-й Шевченка\пров. 4-й Гоголя\пров. 4-й Садовий\пров. 4-й Шевченка\пров. 5-й Садовий\пров. 6-й Садовий\пров. 7-й Садовий\пров. Барбарисова\пров. Бахмутський\пров. Береговий\пров. Великий Троїцький\пров. Виноградний\пров. Всіхсвятський\пров. Вузький\пров. Вчительський\пров. Геологічний\пров. Горького\пров. Григорія Сковороди\пров. Дачний\пров. Декабристів\пров. Джерельний\пров. Жуковського\пров. Зої Космодем'янської\пров. Індустріальний\пров. Кирпичний\пров. Кооперативний\пров. Корсунського\пров. Космонавтів\пров. Красний\пров. Кузнечний\пров. Кутузова\пров. Лісний\пров. Магістратський\пров. Малий Троїцький\пров. Медовий\пров. Михайла Любова\пров. Можайського\пров. Недєліна\пров. Новий\пров. Оборони\пров. Перемоги\пров. Першотравневий\пров. Полярний\пров. Пушкіна\пров. Ростовський\пров. Садовий\пров. Свято-Георгіївський\пров. Сергія Кримського\пров. Силікатний\пров. Солов'їний\пров. Степовий\пров. Східний\пров. Тихий\пров. Філатова\пров. Харківський\пров. Хмельницький\пров. Центральний\пров. Ціолковського\пров. Чайковського\пров. Черняховського\пров. Шкільний\пров. Щедрий\пров. Южний\просп. 1-й Китаєвський\тупік Ломоносова\тупік Магістратський\тупік Сибірцева
Бахмутський	м. Світлодарськ	\бульв. Молодіжний\вул. Енергетиків\жилий масив Присадибно-будинкові ділянки\просп. Миру\просп. Перемоги
Бахмутський	м. Сіверськ	\вул. 40 Років Перемоги\вул. Абрикосова\вул. Бахмутська\вул. Ватутіна\вул. Верхня\вул. Виноградна\вул. Вишнева\вул. Гагаріна\вул. Гоголя\вул. Дачна\вул. Джерельна\вул. Доломітників\вул. Дружби\вул. Енергетика\вул. Журби\вул. Залізнична\вул. Затишна\вул. Західна\вул. Зелена\вул. Зоряна\вул. Івана Франка\вул. Кисиленко\вул. Кленова\вул. Клубна\вул. Кошового\вул. Курортна\вул. Кутузова\вул. Лермонтова\вул. Лесі Українки\вул. Лікарняна\вул. Лісна\вул. Ломоносова\вул. Лугова\вул. Матросова\вул. Менделеєва\вул. Миколи Закаряна\вул. Мирна\вул. Мічурина\вул. Молодіжна\вул. Нахімова\вул. Нова\вул. Новодрана\вул. Новосільська\вул. Павлова\вул. Первомайська\вул. Перемоги\вул. Південна\вул. Північна\вул. Підгірна\вул. Покровська\вул. Польова\вул. Поштова\вул. Праці\вул. Пушкіна\вул. Радивонівська\вул. Радянських Патріотів\вул. Річна\вул. Робоча\вул. Родіонівський патріотів\вул. Садова\вул. Сільськогосподарська\вул. Слобожанська\вул. Сосюри\вул. Степна\вул. Суворова\вул. Східна\вул. Тимирязєва\вул. Тиха\вул. Травнева\вул. Тургенєва\вул. Хмельницького\вул. Хуторська\вул. Центральна\вул. Центральна Усадьба\вул. Цимлянська\вул. Ціолковська\вул. Чайковського\вул. Черняховського\вул. Чехова\вул. Чкалова\вул. Шевченка\вул. Широка\вул. Шкільна\вул. Шосейна\вул. Ювілейна\вул. Ямська\пров. Ватутіна\пров. Забахмутський\пров. Заводський\пров. Ломоносова\пров. Маяковського\пров. Нагорний\пров. Пасічний\пров. Приозерний\пров. Суворова\пров. Чайковського\просп. Миру\просп. Чернишевського
Бахмутський	м. Соледар	\вул. 2-го Жовтня\вул. 8 Березня\вул. Бездворного\вул. Будинки ВЧД\вул. Булавіна\вул. Весняна\вул. Вокзальна\вул. Володарского\вул. Гагаріна\вул. Гоголя\вул. Горького\вул. Дачна\вул. Дружби\вул. Енгельса\вул. Залівського\вул. Залізнична\вул. Зарічна\вул. Злагоди\вул. Карпінського\вул. Київська\вул. Комарова\вул. Короленко\вул. Космонавтів\вул. Кринична\вул. Лермонтова\вул. Ликова\вул. Лісна\вул. Ломоносова\вул. Майстрова\вул. Маяковського\вул. Медова\вул. Металургів\вул. Миру\вул. Мічуріна\вул. Молодіжна\вул. Молодогвардійців\вул. Набережна\вул. Носова\вул. Островського\вул. Павших Героїв\вул. Паризької Комуни\вул. Паркова\вул. Пархоменко\вул. Перемоги\вул. Піонерська\вул. Полковника\вул. Польова\вул. Поштовий\вул. Преображенська\вул. Привокзальна\вул. Пушкіна\вул. Радянська\вул. Річна\вул. Світла\вул. Свободи\вул. Соледарська\вул. Соляників\вул. Сосюри\вул. Спортивна\вул. Стадіонна\вул. Степна\вул. Суворова\вул. Танкістів\вул. Театральна\вул. Тельмана\вул. Тичини\вул. Тіниста\вул. Толстого\вул. Франко\вул. Цілинників\вул. Чайковського\вул. Чапаєва\вул. Чаплина\вул. Червоногвардійська\вул. Червонопрапорна\вул. Червонофлотська\вул. Чернишевського\вул. Черняховського\вул. Чкалова\вул. Шахтарська\вул. Шевченка\вул. Широка\вул. Шкільна\вул. Щедра\пров. 1-й Жовтневий\пров. 8 Березня\пров. Гоголя\пров. Зеленого\пров. Краснофлотський\пров. Льотчиків\пров. Миру\пров. Мічуріна\пров. Тінистий\пров. Чапаєва\пров. Шосейний
Бахмутський	м. Часів Яр	\вул. 2-а Матросова\вул. 8 Березня\вул. Борисоглібська\вул. Вербна\вул. Виноградна\вул. Високовольтна\вул. Вишнева\вул. Відродження\вул. Вокзальна\вул. ВРП\вул. Гагаріна\вул. Гвардійська\вул. Героїчна\вул. Гірників\вул. Горбатова\вул. Горького\вул. Громової\вул. Дачна\вул. Декабристів\вул. Джерельна\вул. Дніпровська\вул. Добролюбова\вул. Донецька\вул. Дружби\вул. Дубровського\вул. Енергетична\вул. Жемчужна\вул. Журавлина\вул. Заводська\вул. Загородня\вул. Залізнична\вул. Злагоди\вул. Зої Космодем'янської\вул. Зоряна\вул. Калинова\вул. Кам'янка\вул. Квіткова\вул. Кленова\вул. Кобзаря\вул. Ковалевського\вул. Ковпака\вул. Козацька\вул. Комарова\вул. Комунальна\вул. Космонавтів\вул. Костянтинівська\вул. Коцюбинського\вул. Кошового\вул. Кривоноса\вул. Крилова\вул. Кутузова\вул. Лазурна\вул. Лермонтова\вул. Лесі Українки\вул. Лісна\вул. Ломоносова\вул. Малинова\вул. Маріупольська\вул. Матросова\вул. Маяковського\вул. Медова\вул. Менделеєва\вул. Миколаївська\вул. Миліцейська\вул. Миру\вул. Міроненко\вул. Мічуріна\вул. Народна\вул. Недогибченко\вул. Некрасова\вул. Образцова\вул. Олійника\вул. Осипенко\вул. Паркова\вул. Партизанська\вул. Першотравнева\вул. Пирогова\вул. Північна\вул. Плещеєвська\вул. Покровська\вул. Полярна\вул. Поштова\вул. Преображенська\вул. Привокзальна\вул. Профсоюзна\вул. Пушкіна\вул. Райдужна\вул. Робітнича\вул. Робкорівська\вул. Робоча\вул. Рокосовського\вул. Садова\вул. Свободи\вул. Сєрова\вул. Скрипниченка\вул. Слов'янська\вул. Солідарності\вул. Сонячна\вул. Спартака\вул. Суворова\вул. Толбухіна\вул. Толстого\вул. Транспортна\вул. Українська\вул. Фільтровальна\вул. Франко\вул. Харківська\вул. Хмельницького\вул. Холода\вул. Центральна\вул. Ціолковського\вул. Чайковського\вул. Челюскіна\вул. Чернишевського\вул. Черняховського\вул. Чехова\вул. Чкалова\вул. Шевченка\вул. Шкільна\вул. Щастя\вул. Ювілейна\вул. Южна\вул. Юності\пров. Добролюбова\пров. Дружби\пров. Жуковського\пров. Західний\пров. Красносільський\пров. Лермонтова\пров. Лісний\пров. Ломоносова\пров. Маяковського\пров. Пушкіна\пров. Степовий\пров. Тимірязєва\пров. Тургенєва\пров. Харківський\пров. Ціолковського\пров. Яблуневий
Бахмутський	с. Андріївка	\вул. Алебастрова\вул. Переїзна\вул. Степна
Бахмутський	с. Бахмутське	\вул. Алебастрова\вул. Бахмутська\вул. Вокзальна\вул. Дружби\вул. Заводська\вул. Зарічна\вул. Перемоги\вул. Річна\вул. Ювілейна\пров. Дружби\пров. Перемоги
Бахмутський	с. Берестове	\вул. Запрудного\вул. Зарічна\вул. Польова\вул. Річна\вул. Садова\вул. Симонова\вул. Степна\вул. Студентська\вул. Центральна\пров. Запрудного\пров. Молодіжний
Бахмутський	с. Берхівка	\вул. Зарічна\вул. Лугова\вул. Першотравнева\вул. Підгородня
Бахмутський	с. Білогорівка	\вул. Лісна
Бахмутський	с. Благодатне	\вул. Самойлівська
Бахмутський	с. Василівка	\вул. Центральна
Бахмутський	с. Верхньокам'янське	\вул. Зарічна\вул. Землянова\вул. Молодіжна\пров. Нагорний\пров. Шкільний
Бахмутський	с. Вершина	\вул. назва відсутня
Бахмутський	с. Весела Долина (Зайцівська сільська рада)	\вул. Зелена
Бахмутський	с. Веселе	\вул. Лугова\вул. Перемоги
Бахмутський	с. Відродження	\вул. Пріозерна\вул. Шевченка
Бахмутський	с. Воздвиженка	\вул. Залізнична\вул. Зарічна\вул. Лугова\вул. Молодіжна\вул. Підгірна\вул. Ювілейна
Бахмутський	с. Володимирівка	\вул. Ангеліної\вул. Гагаріна\вул. Горбатова\вул. Димитрова\вул. Зарічна\вул. Комарова\вул. Лісова\вул. Ломоносова\вул. Мічуріна\вул. Молодіжна\вул. Набережна\вул. Нова\вул. Пшенична\вул. Садова\вул. Сосюри\вул. Центральна\вул. Шевченка
Бахмутський	с. Голубівка	\вул. Шевченка
Бахмутський	с. Григорівка (Серебрянської)	\вул. Гагаріна\вул. Донецька\вул. Жовтнева\вул. Корольова
Бахмутський	с. Дача	\вул. Перемоги
Бахмутський	с. Дронівка	\вул. Бібліотечна\вул. Верхня\вул. Горького\вул. Мічуріна\вул. Почтова\вул. Придонецька\вул. Пушкіна\вул. Шкільна
Бахмутський	с. Дубово-Василівка	\вул. Дачна
Бахмутський	с. Зайцеве (Зайцівська сільська рада)	\вул. Верхня\вул. Ветеринарна\вул. Виноградна\вул. Гагаріна\вул. Донецька\вул. Зарічна\вул. Західна\вул. Клубна\вул. Кооперативна\вул. Молодіжна\вул. Мостова\вул. Нова\вул. Олега Кошового\вул. Підгорна\вул. Садова\вул. Спортивна\вул. Східна\вул. Трудова\вул. Центральна\вул. Шкільна\пров. Спортивний
Бахмутський	с. Залізнянське	\вул. назва відсутня
Бахмутський	с. Званівка	\вул. Гагаріна\вул. Добровольського\вул. Зелена\вул. Корольова\вул. Космонавтів\вул. Лисковатська\вул. Миру\вул. Молодіжна\вул. Пушкіна\вул. Садова\вул. Сосюри\вул. Чехова\вул. Шевченка\вул. Шкільна\просп. Перемоги
Бахмутський	с. Іванград	\вул. Назва відсутня
Бахмутський	с. Іванівське	\вул. 40 Років Перемоги\вул. Вороніжська\вул. Зарічна\вул. Зелена\вул. Миру\вул. Освітня\вул. Садова\вул. Свободи\вул. Східна\вул. Терешкової\вул. Широка\вул. Шосейна\пров. Затишний\пров. Свободи\пров. Шкільний
Бахмутський	с. Івано-Дар'ївка	\вул. Поштова
Бахмутський	с. Клинове	\вул. Козаченко\вул. Лісна\вул. Миру\вул. Островського\вул. Садова\вул. Степова\вул. Тиха\вул. Шевченка\вул. Шкільна\пров. Островського\пров. Садовий
Бахмутський	с. Кліщіївка	\вул. Клубна\вул. Першотравнева\вул. Садова\вул. Тавричанська\вул. Шкільна\пров. Польовий
Бахмутський	с. Кодема	\вул. Друпа\вул. Зарічна\вул. Кооперативна\вул. Миру\вул. Набережна\вул. Перемоги\вул. Садова\вул. Степна\вул. Центральна\пров. Гоголівський\пров. Садовий
Бахмутський	с. Краснополівка	\вул. Залізнична\вул. Кринична\вул. Широка
Бахмутський	с. Криничне	\вул. Кринична
Бахмутський	с. Кузьминівка	\вул. Лугова\вул. Льотчиків\вул. Молодіжна\вул. Набережна\вул. Шосейна\пров. Кірпічний\пров. Короленко\пров. Красногорівський\пров. Лермонтова\пров. Південний\пров. Толстого\пров. Чехова
Бахмутський	с. Липове	\вул. Центральна
Бахмутський	с. Миколаївка (Кодемська сільська рада)	\вул. Степна
Бахмутський	с. Миколаївка (Роздолівська сільська рада)	\вул. Зарічна\вул. Зелена
Бахмутський	с. Миколаївка Друга	\вул. Шевченка
Бахмутський	с. Миронівка	\вул. Дачна\вул. Річна
Бахмутський	с. Мідна Руда	\вул. назва відсутня
Бахмутський	с. Міньківка	\вул. Гагаріна\вул. Жовтнева\вул. Залєсна\вул. Медова\вул. Молодіжна\вул. Центральна\вул. Широка\вул. Шкільна\вул. Ягідна
Бахмутський	с. Нова Кам'янка	\вул. Новокам'янська
Бахмутський	с. Новоселівка	\вул. Леніна
Бахмутський	с. Одрадівка	\вул. Бахмутська\вул. Зелена\вул. Польова
Бахмутський	с. Оріхово-Василівка	\вул. Чкалова
Бахмутський	с. Парасковіївка	\вул. 8 Березня\вул. Верхня\вул. Зайченко\вул. Залізнична\вул. Зелена\вул. Леніна\вул. Набережна\вул. Нижня\вул. Первомайська\вул. Перемоги\вул. Польова\вул. Річна\вул. Садова\вул. Світла\вул. Сіверська\вул. Соляників\вул. Центральна\вул. Шкільна\пров. Новий\пров. Парковий
Бахмутський	с. Переїзне	\вул. Вокзальна\вул. Волкова\вул. Гаршина\вул. Енергетиків\вул. Залізнична\вул. Зарічна\вул. Лермонтова\вул. Нова\вул. Степна\вул. Центральна\пров. Совхозний
Бахмутський	с. Пилипчатине	\вул. Набережна\вул. Сонячна\вул. Степова\вул. Чкалова
Бахмутський	с. Платонівка	\вул. Нова\вул. Центральна
Бахмутський	с. Покровське	\вул. 40 Років Перемоги\вул. Гагаріна\вул. Гафура Гуляма\вул. Горянка\вул. Зелена\вул. Калинова\вул. Літовченко\вул. Механізаторів\вул. Миру\вул. Міліцейська\вул. Набережна\вул. Носакова\вул. Подгорна\вул. Польова\вул. Річна\вул. Садова\вул. Степна\вул. Східна\вул. Трудова\вул. Центральна\вул. Шевченка\вул. Шосейна\пров. Парковий\пров. Шевченка
Бахмутський	с. Привілля	\вул. Вишнева\вул. Партизанська
Бахмутський	с. Роздолівка	\вул. Вишнева\вул. Грушинського\вул. Миру\вул. Незалежності\вул. Сосюри\вул. Толочкова
Бахмутський	с. Розсадки	\вул. назва відсутня
Бахмутський	с. Семигір'я	\вул. Беспалова\вул. Залізнична\вул. Польова\вул. Східна
Бахмутський	с. Серебрянка	\вул. Вишнева\вул. Донецька\вул. Жовтнева\вул. Лисичанська\вул. Молодіжна\вул. Нова\вул. Ново-Мар'їнська\вул. Південна\вул. Преображенська\вул. Пушкіна\вул. Райко Депрерадовича\вул. Садова\вул. Славяносербська\вул. Срібна\вул. Степова\вул. Тургенєва\вул. Центральна\вул. Шевченка\вул. Шкільна\пров. Кузнечний\пров. Лисичанський\пров. Радянський\пров. Шевченка
Бахмутський	с. Стряпівка	\вул. Дачна
Бахмутський	с. Трипілля	\вул. Ангеліної\вул. Зарічна\вул. Комарова\вул. Миру\вул. Набережна\вул. Шевченка
Бахмутський	с. Федорівка	\вул. Молодіжна\вул. Польова\вул. Пріозерна\вул. Центральна\пров. Садовий
Бахмутський	с. Яковлівка	\вул. Верхня\вул. Гагаріна\вул. Горобця\вул. Донецька\вул. Київська\вул. Лісна\вул. Миру\вул. Молодіжна\вул. Нижня\вул. Нова\вул. Первомайська\вул. Садова\вул. Спеціалістів\вул. Степна\вул. Ювілейна\пров. Нижній
