*Код	Назва

001.00	Рілля
001.01	Рілля
001.02	Перелоги
001.03	Парники, оранжереї, теплиці
002.00	Рослинний покрив земель і ґрунти
002.01	Сіножаті
002.02	Пасовища
002.03	Багаторічні насадження
003.00	Землі без рослинного покриву або з незначним рослинним покривом
003.01	Кам’янисті місця
003.02	Піски
003.03	Болота
003.04	Солончаки
003.05	Яри
003.06	Степи
003.07	Луки
004.00	Чагарникова рослинність природного походження
005.00	Ліси та інші лісовкриті землі
005.01	Земельні лісові ділянки, вкриті лісовою рослинністю
005.02	Земельні лісові ділянки, не вкриті лісовою рослинністю
005.03	З усіх лісів лісові насадження лінійного типу
005.04	Інші лісовкриті площі
005.05	Самозаліснені землі
006.00	Води
006.01	Природні водотоки (річки та струмки)
006.02	Штучні водотоки (канали, колектори, канави)
006.03	Озера, прибережні замкнуті водойми, лимани
006.04	Ставки
006.05	Штучні водосховища
007.00	Землі під житловою забудовою
007.01	Малоповерхова забудова
007.02	Багатоповерхова забудова
008.00	Землі під громадською забудовою
008.01	Землі під громадськими спорудами, які мають історико-архітектурну цінність, об’єктами культурної спадщини, адміністративними будівлями
008.02	Вулиці та бульвари (включаючи тротуари), набережні, площі
008.03	Землі під соціально-культурними об’єктами
009.00	Землі, які використовуються для транспорту
009.01	Землі під залізницями
009.02	Землі під дорогами, зокрема підґрунтовими
009.03	Землі під будівлями та спорудами транспорту
010.00	Землі, які використовуються для технічної інфраструктури
011.00	Землі під промисловою забудовою
011.01	Землі під будівлями та спорудами промислових підприємств
011.02	Землі під відкритими розробками, шахтами, кар’єрами, торфорозробками та відповідними спорудами
011.03	Землі, які забруднені промисловими та іншими відходами, включаючи відвали та терикони, а також радіоактивно забруднені
012.00	Землі, зайняті поточним будівництвом та відведені під будівництво (будівництво на яких не розпочато)
013.00	Землі під сільськогосподарськими та іншими господарськими будівлями і дворами
014.00	Землі, які використовуються для відпочинку та оздоровлення
015.00	Землі під об’єктами та спорудами спеціального призначення
015.01	Землі під військовими базами, об’єктами, фортецями, фортами укріплення
015.02	Землі під кладовищами, крематоріями, меморіальними комплексами та пам’ятниками, скотомогильниками 
015.03	Землі, які перебувають у стадії меліоративного освоєння та відновлення родючості ґрунтів
