ЦВ	Типове угіддя
01.01	001.01
01.02	001.01
01.03	001.01
01.04	001.01
01.05	002.03
01.06	002.03
01.07	001.01
01.08	002.01
01.09	001.01
01.10	001.01
01.11	013.00
01.12	013.00
01.13	013.00
01.14	002.00
01.15	013.00
01.16	002.00
01.17	001.01
01.18	003.00
01.19	002.01
02.01	007.01
02.02	007.02
02.03	007.02
02.04	007.02
02.05	007.01
02.06	007.01
02.07	007.01
02.08	007.01
02.09	008.00
02.10	008.00
02.11	008.00
02.12	008.00
03.01	008.03
03.02	008.03
03.03	008.03
03.04	008.01
03.05	008.03
03.06	008.03
03.07	008.03
03.08	008.03
03.09	008.03
03.10	008.03
03.11	008.03
03.12	008.03
03.13	008.03
03.14	008.03
03.15	008.03
03.16	008.03
03.17	008.00
03.18	008.00
03.19	008.00
03.20	008.00
04.01	004.00
04.02	004.00
04.03	004.00
04.04	004.00
04.05	004.00
04.06	004.00
04.07	004.00
04.08	004.00
04.09	004.00
04.10	004.00
04.11	004.00
05.00	004.00
05.01	004.00
05.02	004.00
06.01	014.00
06.02	004.00
06.03	004.00
06.04	004.00
06.05	004.00
07.01	014.00
07.02	014.00
07.03	014.00
07.04	014.00
07.05	014.00
07.06	014.00
07.07	014.00
07.08	014.00
07.09	015.02
08.01	008.03
08.02	008.01
08.03	008.03
08.04	008.03
08.05	008.03
09.01	005.01
09.02	005.04
09.03	005.01
09.04	005.01
09.05	005.01
10.01	006.03
10.02	006.03
10.03	006.03
10.04	006.03
10.05	006.03
10.06	006.03
10.07	006.03
10.08	006.03
10.09	006.03
10.10	006.03
10.11	006.03
10.12	006.03
10.13	006.03
10.14	006.03
10.15	006.03
10.16	006.03
11.01	011.00
11.02	011.00
11.03	011.00
11.04	011.00
11.05	011.00
11.06	011.00
11.07	011.00
11.08	011.00
12.01	009.01
12.02	009.02
12.03	009.02
12.04	009.02
12.05	009.02
12.06	009.02
12.07	009.02
12.08	009.02
12.09	009.02
12.10	009.02
12.11	009.02
12.12	009.02
12.13	009.02
13.01	010.00
13.02	010.00
13.03	010.00
13.04	010.00
13.05	010.00
13.06	010.00
14.01	010.00
14.02	010.00
14.03	010.00
14.04	010.00
14.05	010.00
14.06	010.00
15.01	015.01
15.02	015.01
15.03	015.01
15.04	015.01
15.05	015.01
15.06	015.01
15.07	015.01
15.08	015.01
15.09	015.01
15.10	015.01
15.11	015.01
16.00	004.00
17.00	004.00
18.00	009.02
19.00	004.00
