*Код	Назва
/100/	КАТЕГОРІЯ - ЗЕМЛІ С/Г ПРИЗНАЧЕННЯ
01	Земельні ділянки сільськогосподарського призначення (земельні ділянки, надані для виробництва сільськогосподарської продукції, здійснення сільськогосподарської науково-дослідної та навчальної діяльності, розміщення відповідної виробничої інфраструктури, у тому числі інфраструктури оптових ринків сільськогосподарської продукції, або призначені для цих цілей; земельні ділянки, надані для діяльності у сфері надання послуг у сільському господарстві, та інше)
01.01	Для ведення товарного сільськогосподарського виробництва
01.02	Для ведення фермерського господарства
01.03	Для ведення особистого селянського господарства
01.04	Для ведення підсобного сільського господарства
01.05	Для індивідуального садівництва
01.06	Для колективного садівництва
01.07	Для городництва
01.08	Для сінокосіння і випасання худоби
01.09	Для дослідних і навчальних цілей
01.10	Для пропаганди передового досвіду ведення сільського господарства
01.11	Для надання послуг у сільському господарстві
01.12	Для розміщення інфраструктури оптових ринків сільськогосподарської продукції
01.13	Для іншого сільськогосподарського призначення
01.14	Для цілей підрозділів 01.01—01.13, 01.15—01.19 та для збереження та використання земель природно-заповідного фонду
01.15	Земельні ділянки під сільськогосподарськими будівлями і дворами
01.16	Земельні ділянки під полезахисними лісовими смугами
01.17	Земельні ділянки запасу (земельні ділянки, які не надані у власність або користування громадянами чи юридичними особами)
01.18	Земельні ділянки загального користування, які використовуються як польові дороги, прогони 
01.19	Земельні ділянки під громадськими сіножатями та громадськими пасовищами

/200/	КАТЕГОРІЯ - ЗЕМЛІ ЖИТЛОВОЇ ТА ГРОМАДСЬКОЇ ЗАБУДОВИ
02	Земельні ділянки житлової забудови (земельні ділянки, які використовуються для розміщення житлової забудови (житлові будинки, гуртожитки, господарські будівлі та інше); земельні ділянки, які використовуються для розміщення гаражного будівництва)
02.01	Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)
02.02	Для колективного житлового будівництва
02.03	Для будівництва і обслуговування багатоквартирного житлового будинку
02.04	Для будівництва і обслуговування будівель тимчасового проживання
02.05	Для будівництва індивідуальних гаражів
02.06	Для колективного гаражного будівництва
02.07	Для іншої житлової забудови
02.08	Для цілей підрозділів 02.01—02.07, 02.09—02.12 та для збереження та використання земель природно-заповідного фонду
02.09	Для будівництва і обслуговування паркінгів та автостоянок на землях житлової та громадської забудови
02.10	Для будівництва і обслуговування багатоквартирного житлового будинку з об’єктами торгово-розважальної та ринкової інфраструктури
02.11	Земельні ділянки запасу (земельні ділянки, які не надані у власність або користування громадянам чи юридичним особам)
02.12	Земельні ділянки загального користування, які використовуються як внутрішньоквартальні проїзди, пішохідні зони
03	Земельні ділянки громадської забудови (земельні ділянки, які використовуються для розміщення громадських будівель і споруд (готелів, офісних будівель, торговельних будівель, для публічних виступів, для музеїв та бібліотек, для навчальних та дослідних закладів, для лікарень та оздоровчих закладів), інших об'єктів загального користування)
03.01	Для будівництва та обслуговування будівель органів державної влади та органів місцевого самоврядування
03.02	Для будівництва та обслуговування будівель закладів освіти
03.03	Для будівництва та обслуговування будівель закладів охорони здоров'я та соціальної допомоги
03.04	Для будівництва та обслуговування будівель громадських та релігійних організацій
03.05	Для будівництва та обслуговування будівель закладів культурно-просвітницького обслуговування
03.06	Для будівництва та обслуговування будівель екстериторіальних організацій та органів
03.07	Для будівництва та обслуговування будівель торгівлі
03.08	Для будівництва та обслуговування об’єктів туристичної інфраструктури та закладів громадського харчування
03.09	Для будівництва та обслуговування будівель кредитно-фінансових установ
03.10	Для будівництва та обслуговування адміністративних будинків, офісних будівель компаній, які займаються підприємницькою діяльністю, пов’язаною з отриманням прибутку
03.11	Для будівництва та обслуговування будівель і споруд закладів науки
03.12	Для будівництва та обслуговування будівель закладів комунального обслуговування
03.13	Для будівництва та обслуговування будівель закладів побутового обслуговування
03.14	Для розміщення та постійної діяльності органів і підрозділів ДСНС
03.15	Для будівництва та обслуговування інших будівель громадської забудови
03.16	Для цілей підрозділів 03.01—03.15, 03.17—03.20 та для збереження та використання земель природно-заповідного фонду
